order_id,order_date,customer_Name,city,region,product,category,quantity,unit_Price,discount_Percent,total_sales,profit,payment_method,sales_channel,sales_rep
ORD00001,16-08-2024,Mark Hodge,Chicago,North,Mouse,Accessories,1,1176,5,1117.2,429.38,Cash,Online,Isaac Day
ORD00002,05-04-2024,Rhonda Chavez,Detroit,North,Smartwatch,Wearables,7,180,0,1260,498.12,Cash,Online,Rachel Roberson
ORD00003,26-08-2025,Daniel Dean,Minneapolis,North,Camera,Electronics,7,952,15,5664.4,1535.73,Debit Card,Retail Store,Nicholas Chaney
ORD00004,10-12-2024,Stephanie Wallace,Los Angeles,West,Tablet,Electronics,5,686,5,3258.5,1284.35,Credit Card,Retail Store,Shelly Murray
ORD00005,15-04-2025,Rick Ruiz,San Diego,West,Tablet,Electronics,10,1133,0,11330,3579.6,Credit Card,Retail Store,Jacqueline Williams
ORD00006,22-12-2025,Andrew Parker,Houston,South,Smartwatch,Wearables,6,2414,5,13759.8,5541.72,UPI,Online,Terry Huynh
ORD00007,09-04-2025,Kristy Williams,New York,East,Monitor,Electronics,2,1606,10,2890.8,613.74,Debit Card,Retail Store,Jennifer Cooper
ORD00008,15-09-2025,Lori Lee,Dallas,South,Tablet,Electronics,4,1143,0,4572,1331.6,Debit Card,Retail Store,Mary Stephens
ORD00009,02-12-2025,James Woods Jr.,Milwaukee,North,Smartphone,Electronics,5,2331,5,11072.25,3717.1,Debit Card,Online,Michael Wilson
ORD00010,04-08-2024,Joel Kane,Boston,East,Tablet,Electronics,7,1146,0,8022,1778.63,Debit Card,Retail Store,Alexander Lopez
ORD00011,22-05-2024,Keith Ramos,Philadelphia,East,Smartphone,Electronics,8,635,10,4572,1464.8,Cash,Retail Store,Stephen Johnson
ORD00012,21-05-2024,Timothy Harper,Cleveland,North,Smartwatch,Wearables,7,1532,5,10187.8,2923.55,Credit Card,Online,David Silva
ORD00013,06-03-2024,Cassandra Hernandez,San Francisco,West,Keyboard,Accessories,3,1779,20,4269.6,820.86,Cash,Retail Store,Troy Daniels
ORD00014,30-09-2024,Willie Cummings,Washington,East,Camera,Electronics,1,519,20,415.2,30.02,Credit Card,Retail Store,Mikayla Gray
ORD00015,26-09-2024,David Mitchell,Austin,South,Smartphone,Electronics,3,1908,0,5724,1185.03,Cash,Online,Ashley Perez
ORD00016,17-01-2025,Angela Schneider,Columbus,North,Printer,Office Equipment,9,864,5,7387.2,1628.1,Cash,Retail Store,Margaret Ramirez MD
ORD00017,10-11-2024,Jessica Armstrong,San Antonio,South,Headphones,Accessories,1,508,10,457.2,147.39,Cash,Online,Kyle Stewart
ORD00018,08-05-2024,John Gray,San Jose,West,Mouse,Accessories,8,333,20,2131.2,580.48,Cash,Online,Sheila Salazar
ORD00019,06-07-2025,William Chapman,Fort Worth,South,Printer,Office Equipment,9,1783,5,15244.65,3388.86,UPI,Retail Store,Cheryl Peterson
ORD00020,03-05-2024,Yesenia Patel,Indianapolis,North,Tablet,Electronics,8,2169,15,14749.2,4130.16,UPI,Online,William Perez
ORD00021,13-08-2024,Jessica Mcintyre,Cincinnati,North,Smartwatch,Wearables,9,992,20,7142.4,2215.98,Debit Card,Online,Patricia Mcbride
ORD00022,31-08-2024,Eric Walker,Sacramento,West,Laptop,Electronics,6,340,20,1632,367.98,Debit Card,Online,Renee Martin
ORD00023,29-04-2025,Breanna Wilson,New Orleans,South,Smartwatch,Wearables,10,1986,5,18867,3934.8,Credit Card,Online,Robert Rodriguez
ORD00024,23-04-2025,Patrick Wolfe,St. Louis,North,Smartphone,Electronics,6,1784,15,9098.4,899.58,Credit Card,Online,Susan Schneider
ORD00025,15-07-2024,Brian Brewer,Seattle,West,Smartphone,Electronics,6,497,5,2832.9,1051.02,Debit Card,Retail Store,Lynn Johnson
ORD00026,18-03-2024,Kyle Holland,Kansas City,North,Keyboard,Accessories,5,1944,5,9234,2811.2,Credit Card,Online,Robert Davis
  ORD00027  ,12-05-2025,Ryan Mccarthy,Portland,West,Mouse,Accessories,4,731,15,2485.4,525.32,Credit Card,Online,Michael Johnson
ORD00028,10-04-2025,Christina Dunn,Las Vegas,West,Smartphone,Electronics,1,1649,10,1484.1,459.56,Debit Card,Online,Patricia Cooper
ORD00029,09-07-2025,Joshua Cummings,Baltimore,East,Printer,Office Equipment,4,289,20,924.8,271.4,Credit Card,Online,Jack Hendricks
ORD00030,10-06-2024,Ryan Murray,Spokane,North,Smartwatch,Wearables,8,2109,20,13497.6,3978.08,Debit Card,Online,Lawrence Garcia
ORD00031,02-05-2024,Gary Jennings,Nashville,South,Smartwatch,Wearables,2,1013,15,1722.1,130.88,Cash,Online,Robert Butler
ORD00032,01-08-2025,Joshua Keller,Miami,East,Smartwatch,Wearables,2,1767,20,2827.2,421.62,Debit Card,Retail Store,Samuel Watts
ORD00033,18-11-2025,Edward Bailey,Phoenix,West,Monitor,Electronics,5,1671,5,7937.25,1993.7,UPI,Online,Diane Alexander
ORD00034,16-03-2024,Michael Edwards,Long Beach,East,Laptop,Electronics,8,2356,0,18848,5948.24,Debit Card,Retail Store,Luis Jacobs
ORD00035,10-06-2024,Emily Wallace,Orlando,East,Mouse,Accessories,4,1563,10,5626.8,1503.32,Cash,Online,Ashley Smith
ORD00036,27-09-2024,Randy Johnson,Omaha,North,Camera,Electronics,5,474,5,2251.5,879.6,Cash,Online,Misty Jackson
ORD00037,27-07-2024,Sandra Johnson,Charlotte,East,Printer,Office Equipment,5,912,10,4104,812.25,Cash,Retail Store,Adam Smith
ORD00038,10-10-2024,Beverly Klein,Long Beach,East,Printer,Office Equipment,1,428,15,363.8,123.68,Debit Card,Retail Store,Joshua Dominguez
ORD00039,28-07-2025,Jill Watkins,Des Moines,North,Keyboard,Accessories,8,2309,15,15701.2,5496.96,Debit Card,Online,Lindsay White
ORD00040,16-03-2025,Gary Meyers Jr.,Tucson,East,Tablet,Electronics,10,2313,5,21973.5,8515,UPI,Online,Christopher Robles
ORD00041,28-12-2024,Christian Dunn,Portland,West,Tablet,Electronics,4,1072,0,4288,1093.32,Cash,Online,George Dunn
ORD00042,26-01-2024,Carol Pena,Memphis,East,Monitor,Electronics,3,775,15,1976.25,593.25,Net Banking,Online,David Mitchell
ORD00043,09-02-2024,Theresa Gilbert,Denver,South,Printer,Office Equipment,3,492,15,1254.6,125.97,Debit Card,Retail Store,Anna Moon
ORD00044,25-01-2024,Matthew Foley,Jacksonville,West,Tablet,Electronics,5,982,5,4664.5,1153.8,UPI,Retail Store,Savannah Hubbard
